rate_company_id,company_id,service_id,fee_group,fee_code,fee,start_date,end_date,created_at,created_by,updated_at,updated_by
,1,3367,Additional Handling Charge,AHW-2,14.57,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHW-3T4,15.9,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHW-5T6,17.61,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHW-7T8,18.4,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHL-2,9.4,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHL-3T4,10.41,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHL-5T6,12.06,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHL-7T8,12.69,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHS-2,9.4,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHS-3T4,10.41,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHS-5T6,12.06,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHS-7T8,12.69,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHG-2,9.4,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHG-3T4,10.41,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHG-5T6,12.06,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHG-7T8,12.69,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHV-2,9.4,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHV-3T4,10.41,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHV-5T6,12.06,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHV-7T8,12.69,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHC-2,8.38,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHC-3T4,9.71,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHC-5T6,10.41,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Additional Handling Charge,AHC-7T8,10.57,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLC-2,68.75,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLC-3T4,75.02,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLC-5T6,85.5,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLC-7T8,89.58,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPS-2,68.75,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPS-3T4,75.02,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPS-5T6,85.5,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPS-7T8,89.58,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LWS-2,68.75,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LWS-3T4,75.02,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LWS-5T6,85.5,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LWS-7T8,89.58,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVS-2,68.75,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVS-3T4,75.02,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVS-5T6,85.5,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVS-7T8,89.58,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLR-2,79.71,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLR-3T4,85.98,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLR-5T6,100.39,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LLR-7T8,103.67,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPR-2,79.71,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPR-3T4,85.98,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPR-5T6,100.39,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LPR-7T8,103.67,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LWR-2,79.71,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LWR-3T4,85.98,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LWR-5T6,100.39,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LWR-7T8,103.67,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVR-2,79.71,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVR-3T4,85.98,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVR-5T6,100.39,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Large Package Surcharge,LVR-7T8,103.67,2026/1/26 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Address Correction,ADC,27.27,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Delivery Confirmation Signature,DCS,8.32,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Delivery Confirmation Signature Commercial,CSG,8.32,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Adult Signature Required,ADS,10.1,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Delivery Area Surcharge Commercial,RDC,2.19,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Delivery Area Surcharge Residential,RDR,3.19,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Delivery Area Surcharge Commercial - Extended,LDC,2.78,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Delivery Area Surcharge Residential - Extended,LDR,4.3,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Remote Area Surcharge - 48 States,CAC,16.5,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Remote Area Surcharge - 48 States,CAR,15.35,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Residential Surcharge,RES,3.51,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Shipping Charge Correction,SCC,1.65,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Return To Sender - Web Request,ISW,27.27,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Reroute - Web Request,IRW,27.27,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Over Maximum,OML,2025,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Over Maximum,OVR,2025,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
,1,3367,Over Maximum,OVX,2025,2026/1/5 0:00,2099/12/31 23:59,2026/1/5 0:00,0,2026/1/5 0:00,0
